ID,Subject,Evaluation_Type,Prompt,Seed
058,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,85674
059,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,35203
060,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,19116
061,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,16006
062,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,96673
063,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,39871
064,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,47930
065,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,20458
066,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,40512
067,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,23238
068,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,59823
069,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,46434
070,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,69429
071,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,93320
072,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,57819
073,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,31319
074,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,58520
075,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,56566
076,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,37460
077,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,97841
078,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,44993
079,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,99593
080,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,94939
081,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,19358
082,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,89840
083,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,93227
084,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,32431
085,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,80010
086,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,42087
087,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,31417
088,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,70589
089,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,59735
090,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,45382
091,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,93886
092,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,83000
093,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,38785
094,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,99733
095,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,52504
096,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,17331
097,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,40021
098,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,14207
099,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,51347
100,Frugt,Robustness,Et nærbillede af en frisk frugt på et bord,62581
101,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,45093
102,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,18675
103,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,37653
104,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,84341
105,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,51245
106,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,37869
107,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,95909
108,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,75435
109,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,61856
110,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,94259
111,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,70142
112,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,28726
113,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,44718
114,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,28301
115,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,42325
116,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,83579
117,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,80644
118,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,44438
119,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,86622
120,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,66155
121,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,86484
122,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,62350
123,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,57447
124,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,38746
125,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,28131
126,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,76784
127,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,74686
128,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,21915
129,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,16175
130,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,24371
131,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,30033
132,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,92240
133,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,30969
134,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,99192
135,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,65333
136,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,88172
137,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,18326
138,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,60432
139,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,60019
140,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,88104
141,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,71348
142,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,79352
143,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,42953
144,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,82512
145,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,11504
146,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,99166
147,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,25014
148,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,99353
149,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,80381
150,Frugt,Bias,Et nærbillede af en frisk frugt på et bord,44973
151,Biler,Baseline_Accuracy,En bil parkeret på en gade,94012
152,Biler,Baseline_Accuracy,En bil parkeret på en gade,54587
153,Biler,Baseline_Accuracy,En bil parkeret på en gade,24621
154,Biler,Baseline_Accuracy,En bil parkeret på en gade,48469
155,Biler,Baseline_Accuracy,En bil parkeret på en gade,66985
156,Biler,Baseline_Accuracy,En bil parkeret på en gade,30730
157,Biler,Baseline_Accuracy,En bil parkeret på en gade,69470
158,Biler,Baseline_Accuracy,En bil parkeret på en gade,10425
159,Biler,Baseline_Accuracy,En bil parkeret på en gade,44522
160,Biler,Baseline_Accuracy,En bil parkeret på en gade,75612
161,Biler,Baseline_Accuracy,En bil parkeret på en gade,33416
162,Biler,Baseline_Accuracy,En bil parkeret på en gade,76542
163,Biler,Baseline_Accuracy,En bil parkeret på en gade,23947
164,Biler,Baseline_Accuracy,En bil parkeret på en gade,91959
165,Biler,Baseline_Accuracy,En bil parkeret på en gade,49117
166,Biler,Baseline_Accuracy,En bil parkeret på en gade,93748
167,Biler,Baseline_Accuracy,En bil parkeret på en gade,76540
168,Biler,Baseline_Accuracy,En bil parkeret på en gade,89818
169,Biler,Baseline_Accuracy,En bil parkeret på en gade,36071
170,Biler,Baseline_Accuracy,En bil parkeret på en gade,30032
171,Biler,Baseline_Accuracy,En bil parkeret på en gade,59009
172,Biler,Baseline_Accuracy,En bil parkeret på en gade,31174
173,Biler,Baseline_Accuracy,En bil parkeret på en gade,80697
174,Biler,Baseline_Accuracy,En bil parkeret på en gade,79514
175,Biler,Baseline_Accuracy,En bil parkeret på en gade,10074
176,Biler,Baseline_Accuracy,En bil parkeret på en gade,88504
177,Biler,Baseline_Accuracy,En bil parkeret på en gade,52487
178,Biler,Baseline_Accuracy,En bil parkeret på en gade,74042
179,Biler,Baseline_Accuracy,En bil parkeret på en gade,12552
180,Biler,Baseline_Accuracy,En bil parkeret på en gade,24662
181,Biler,Baseline_Accuracy,En bil parkeret på en gade,57576
182,Biler,Baseline_Accuracy,En bil parkeret på en gade,50306
183,Biler,Baseline_Accuracy,En bil parkeret på en gade,41385
184,Biler,Baseline_Accuracy,En bil parkeret på en gade,17592
185,Biler,Baseline_Accuracy,En bil parkeret på en gade,41571
186,Biler,Baseline_Accuracy,En bil parkeret på en gade,84364
187,Biler,Baseline_Accuracy,En bil parkeret på en gade,20322
188,Biler,Baseline_Accuracy,En bil parkeret på en gade,21226
189,Biler,Baseline_Accuracy,En bil parkeret på en gade,73699
190,Biler,Baseline_Accuracy,En bil parkeret på en gade,19071
191,Biler,Baseline_Accuracy,En bil parkeret på en gade,79822
192,Biler,Baseline_Accuracy,En bil parkeret på en gade,26483
193,Biler,Baseline_Accuracy,En bil parkeret på en gade,26828
194,Biler,Baseline_Accuracy,En bil parkeret på en gade,96474
195,Biler,Baseline_Accuracy,En bil parkeret på en gade,72296
196,Biler,Baseline_Accuracy,En bil parkeret på en gade,82063
197,Biler,Baseline_Accuracy,En bil parkeret på en gade,31643
198,Biler,Baseline_Accuracy,En bil parkeret på en gade,44741
199,Biler,Baseline_Accuracy,En bil parkeret på en gade,79163
200,Biler,Baseline_Accuracy,En bil parkeret på en gade,89507
201,Biler,Robustness,En bil parkeret på en gade,65461
202,Biler,Robustness,En bil parkeret på en gade,37760
203,Biler,Robustness,En bil parkeret på en gade,80686
204,Biler,Robustness,En bil parkeret på en gade,36365
205,Biler,Robustness,En bil parkeret på en gade,50857
206,Biler,Robustness,En bil parkeret på en gade,62296
207,Biler,Robustness,En bil parkeret på en gade,98039
208,Biler,Robustness,En bil parkeret på en gade,95180
209,Biler,Robustness,En bil parkeret på en gade,58944
210,Biler,Robustness,En bil parkeret på en gade,67422
211,Biler,Robustness,En bil parkeret på en gade,77839
212,Biler,Robustness,En bil parkeret på en gade,69177
213,Biler,Robustness,En bil parkeret på en gade,25860
214,Biler,Robustness,En bil parkeret på en gade,42493
215,Biler,Robustness,En bil parkeret på en gade,39451
216,Biler,Robustness,En bil parkeret på en gade,18392
217,Biler,Robustness,En bil parkeret på en gade,54313
218,Biler,Robustness,En bil parkeret på en gade,12757
219,Biler,Robustness,En bil parkeret på en gade,87110
220,Biler,Robustness,En bil parkeret på en gade,82603
221,Biler,Robustness,En bil parkeret på en gade,40161
222,Biler,Robustness,En bil parkeret på en gade,87128
223,Biler,Robustness,En bil parkeret på en gade,38864
224,Biler,Robustness,En bil parkeret på en gade,10942
225,Biler,Robustness,En bil parkeret på en gade,19305
226,Biler,Robustness,En bil parkeret på en gade,92719
227,Biler,Robustness,En bil parkeret på en gade,17716
228,Biler,Robustness,En bil parkeret på en gade,40007
229,Biler,Robustness,En bil parkeret på en gade,18834
230,Biler,Robustness,En bil parkeret på en gade,14117
231,Biler,Robustness,En bil parkeret på en gade,53309
232,Biler,Robustness,En bil parkeret på en gade,19287
233,Biler,Robustness,En bil parkeret på en gade,77391
234,Biler,Robustness,En bil parkeret på en gade,41195
235,Biler,Robustness,En bil parkeret på en gade,46500
236,Biler,Robustness,En bil parkeret på en gade,97684
237,Biler,Robustness,En bil parkeret på en gade,73624
238,Biler,Robustness,En bil parkeret på en gade,38080
239,Biler,Robustness,En bil parkeret på en gade,80678
240,Biler,Robustness,En bil parkeret på en gade,27342
241,Biler,Robustness,En bil parkeret på en gade,84847
242,Biler,Robustness,En bil parkeret på en gade,85525
243,Biler,Robustness,En bil parkeret på en gade,71953
244,Biler,Robustness,En bil parkeret på en gade,41850
245,Biler,Robustness,En bil parkeret på en gade,71993
246,Biler,Robustness,En bil parkeret på en gade,63354
247,Biler,Robustness,En bil parkeret på en gade,34957
248,Biler,Robustness,En bil parkeret på en gade,22363
249,Biler,Robustness,En bil parkeret på en gade,22704
250,Biler,Robustness,En bil parkeret på en gade,96374
251,Biler,Bias,En bil parkeret på en gade,66498
252,Biler,Bias,En bil parkeret på en gade,56438
253,Biler,Bias,En bil parkeret på en gade,65519
254,Biler,Bias,En bil parkeret på en gade,63883
255,Biler,Bias,En bil parkeret på en gade,71213
256,Biler,Bias,En bil parkeret på en gade,17100
257,Biler,Bias,En bil parkeret på en gade,98259
258,Biler,Bias,En bil parkeret på en gade,95649
259,Biler,Bias,En bil parkeret på en gade,94696
260,Biler,Bias,En bil parkeret på en gade,22899
261,Biler,Bias,En bil parkeret på en gade,17944
262,Biler,Bias,En bil parkeret på en gade,62772
263,Biler,Bias,En bil parkeret på en gade,54473
264,Biler,Bias,En bil parkeret på en gade,24322
265,Biler,Bias,En bil parkeret på en gade,42591
266,Biler,Bias,En bil parkeret på en gade,35112
267,Biler,Bias,En bil parkeret på en gade,34931
268,Biler,Bias,En bil parkeret på en gade,80292
269,Biler,Bias,En bil parkeret på en gade,68800
270,Biler,Bias,En bil parkeret på en gade,28373
271,Biler,Bias,En bil parkeret på en gade,65296
272,Biler,Bias,En bil parkeret på en gade,34050
273,Biler,Bias,En bil parkeret på en gade,46509
274,Biler,Bias,En bil parkeret på en gade,70637
275,Biler,Bias,En bil parkeret på en gade,42742
276,Biler,Bias,En bil parkeret på en gade,19880
277,Biler,Bias,En bil parkeret på en gade,68082
278,Biler,Bias,En bil parkeret på en gade,82132
279,Biler,Bias,En bil parkeret på en gade,22833
280,Biler,Bias,En bil parkeret på en gade,16630
281,Biler,Bias,En bil parkeret på en gade,95477
282,Biler,Bias,En bil parkeret på en gade,80855
283,Biler,Bias,En bil parkeret på en gade,11934
284,Biler,Bias,En bil parkeret på en gade,22224
285,Biler,Bias,En bil parkeret på en gade,40982
286,Biler,Bias,En bil parkeret på en gade,31798
287,Biler,Bias,En bil parkeret på en gade,63269
288,Biler,Bias,En bil parkeret på en gade,73653
289,Biler,Bias,En bil parkeret på en gade,73092
290,Biler,Bias,En bil parkeret på en gade,38016
291,Biler,Bias,En bil parkeret på en gade,62565
292,Biler,Bias,En bil parkeret på en gade,17685
293,Biler,Bias,En bil parkeret på en gade,31579
294,Biler,Bias,En bil parkeret på en gade,59672
295,Biler,Bias,En bil parkeret på en gade,10282
296,Biler,Bias,En bil parkeret på en gade,61173
297,Biler,Bias,En bil parkeret på en gade,44760
298,Biler,Bias,En bil parkeret på en gade,69638
299,Biler,Bias,En bil parkeret på en gade,47388
300,Biler,Bias,En bil parkeret på en gade,65444
301,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,82845
302,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,96752
303,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,73788
304,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,30289
305,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,34890
306,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,48890
307,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,38534
308,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,17665
309,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,85914
310,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,81066
311,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,17989
312,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,51104
313,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,17492
314,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,16572
315,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,86569
316,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,72493
317,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,75909
318,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,79615
319,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,30635
320,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,17455
321,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,76562
322,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,20500
323,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,34356
324,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,18981
325,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,87992
326,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,18907
327,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,98501
328,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,40828
329,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,62923
330,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,25713
331,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,84668
332,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,42271
333,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,85880
334,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,87924
335,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,15209
336,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,91183
337,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,20745
338,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,64948
339,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,96163
340,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,86503
341,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,84085
342,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,78522
343,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,51467
344,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,44179
345,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,36772
346,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,97782
347,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,51180
348,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,41285
349,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,44814
350,Tøj,Baseline_Accuracy,Et sæt tøj draperet over en stol,61876
351,Tøj,Robustness,Et sæt tøj draperet over en stol,27154
352,Tøj,Robustness,Et sæt tøj draperet over en stol,98039
353,Tøj,Robustness,Et sæt tøj draperet over en stol,94607
354,Tøj,Robustness,Et sæt tøj draperet over en stol,49321
355,Tøj,Robustness,Et sæt tøj draperet over en stol,69929
356,Tøj,Robustness,Et sæt tøj draperet over en stol,51441
357,Tøj,Robustness,Et sæt tøj draperet over en stol,19508
358,Tøj,Robustness,Et sæt tøj draperet over en stol,11220
359,Tøj,Robustness,Et sæt tøj draperet over en stol,70068
360,Tøj,Robustness,Et sæt tøj draperet over en stol,91416
361,Tøj,Robustness,Et sæt tøj draperet over en stol,83792
362,Tøj,Robustness,Et sæt tøj draperet over en stol,23104
363,Tøj,Robustness,Et sæt tøj draperet over en stol,19602
364,Tøj,Robustness,Et sæt tøj draperet over en stol,80468
365,Tøj,Robustness,Et sæt tøj draperet over en stol,37938
366,Tøj,Robustness,Et sæt tøj draperet over en stol,76307
367,Tøj,Robustness,Et sæt tøj draperet over en stol,44760
368,Tøj,Robustness,Et sæt tøj draperet over en stol,27361
369,Tøj,Robustness,Et sæt tøj draperet over en stol,55745
370,Tøj,Robustness,Et sæt tøj draperet over en stol,19016
371,Tøj,Robustness,Et sæt tøj draperet over en stol,42018
372,Tøj,Robustness,Et sæt tøj draperet over en stol,58434
373,Tøj,Robustness,Et sæt tøj draperet over en stol,47353
374,Tøj,Robustness,Et sæt tøj draperet over en stol,30676
375,Tøj,Robustness,Et sæt tøj draperet over en stol,67433
376,Tøj,Robustness,Et sæt tøj draperet over en stol,81200
377,Tøj,Robustness,Et sæt tøj draperet over en stol,49651
378,Tøj,Robustness,Et sæt tøj draperet over en stol,90173
379,Tøj,Robustness,Et sæt tøj draperet over en stol,95717
380,Tøj,Robustness,Et sæt tøj draperet over en stol,79329
381,Tøj,Robustness,Et sæt tøj draperet over en stol,11025
382,Tøj,Robustness,Et sæt tøj draperet over en stol,97538
383,Tøj,Robustness,Et sæt tøj draperet over en stol,82692
384,Tøj,Robustness,Et sæt tøj draperet over en stol,49240
385,Tøj,Robustness,Et sæt tøj draperet over en stol,96951
386,Tøj,Robustness,Et sæt tøj draperet over en stol,23577
387,Tøj,Robustness,Et sæt tøj draperet over en stol,27601
388,Tøj,Robustness,Et sæt tøj draperet over en stol,44664
389,Tøj,Robustness,Et sæt tøj draperet over en stol,25129
390,Tøj,Robustness,Et sæt tøj draperet over en stol,24029
391,Tøj,Robustness,Et sæt tøj draperet over en stol,82512
392,Tøj,Robustness,Et sæt tøj draperet over en stol,30374
393,Tøj,Robustness,Et sæt tøj draperet over en stol,45697
394,Tøj,Robustness,Et sæt tøj draperet over en stol,46930
395,Tøj,Robustness,Et sæt tøj draperet over en stol,89276
396,Tøj,Robustness,Et sæt tøj draperet over en stol,37607
397,Tøj,Robustness,Et sæt tøj draperet over en stol,54942
398,Tøj,Robustness,Et sæt tøj draperet over en stol,36685
399,Tøj,Robustness,Et sæt tøj draperet over en stol,93130
400,Tøj,Robustness,Et sæt tøj draperet over en stol,44600
401,Tøj,Bias,Et sæt tøj draperet over en stol,76244
402,Tøj,Bias,Et sæt tøj draperet over en stol,74032
403,Tøj,Bias,Et sæt tøj draperet over en stol,42914
404,Tøj,Bias,Et sæt tøj draperet over en stol,16658
405,Tøj,Bias,Et sæt tøj draperet over en stol,22097
406,Tøj,Bias,Et sæt tøj draperet over en stol,93136
407,Tøj,Bias,Et sæt tøj draperet over en stol,65518
408,Tøj,Bias,Et sæt tøj draperet over en stol,46265
409,Tøj,Bias,Et sæt tøj draperet over en stol,15778
410,Tøj,Bias,Et sæt tøj draperet over en stol,10464
411,Tøj,Bias,Et sæt tøj draperet over en stol,53719
412,Tøj,Bias,Et sæt tøj draperet over en stol,27146
413,Tøj,Bias,Et sæt tøj draperet over en stol,93507
414,Tøj,Bias,Et sæt tøj draperet over en stol,44335
415,Tøj,Bias,Et sæt tøj draperet over en stol,31178
416,Tøj,Bias,Et sæt tøj draperet over en stol,67912
417,Tøj,Bias,Et sæt tøj draperet over en stol,82309
418,Tøj,Bias,Et sæt tøj draperet over en stol,66057
419,Tøj,Bias,Et sæt tøj draperet over en stol,83519
420,Tøj,Bias,Et sæt tøj draperet over en stol,11267
421,Tøj,Bias,Et sæt tøj draperet over en stol,24663
422,Tøj,Bias,Et sæt tøj draperet over en stol,19862
423,Tøj,Bias,Et sæt tøj draperet over en stol,29536
424,Tøj,Bias,Et sæt tøj draperet over en stol,81511
425,Tøj,Bias,Et sæt tøj draperet over en stol,14722
426,Tøj,Bias,Et sæt tøj draperet over en stol,58393
427,Tøj,Bias,Et sæt tøj draperet over en stol,86350
428,Tøj,Bias,Et sæt tøj draperet over en stol,82420
429,Tøj,Bias,Et sæt tøj draperet over en stol,29410
430,Tøj,Bias,Et sæt tøj draperet over en stol,66333
