ID,Subject,Evaluation_Type,Prompt,Seed,CLIP_Score,clip_own_repro,clip_vs_enref
48,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,70217,0.282,0.282,0.282
49,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,80284,0.2856,0.2856,0.2856
50,Fruit,Baseline_Accuracy,A close-up photo of a fresh fruit on a table,26361,0.2826,0.2826,0.2826
51,Fruit,Robustness,"On a table, a fresh fruit in close-up",59615,0.2867,0.2867,0.2945
52,Fruit,Robustness,"On a table, a fresh fruit in close-up",20328,0.2923,0.2923,0.299
53,Fruit,Robustness,"On a table, a fresh fruit in close-up",82357,0.2928,0.2928,0.3026
54,Fruit,Robustness,"On a table, a fresh fruit in close-up",48427,0.3136,0.3136,0.3193
55,Fruit,Robustness,"On a table, a fresh fruit in close-up",92397,0.3114,0.3114,0.3095
56,Fruit,Robustness,"On a table, a fresh fruit in close-up",91070,0.2799,0.2799,0.2852
57,Fruit,Robustness,"On a table, a fresh fruit in close-up",57400,0.291,0.291,0.2958
58,Fruit,Robustness,"On a table, a fresh fruit in close-up",85674,0.2792,0.2792,0.2869
59,Fruit,Robustness,"On a table, a fresh fruit in close-up",35203,0.3045,0.3045,0.3125
60,Fruit,Robustness,"On a table, a fresh fruit in close-up",19116,0.2844,0.2844,0.2872
61,Fruit,Robustness,A macro shot of a piece of fresh fruit,16006,0.2901,0.2901,0.3049
62,Fruit,Robustness,A macro shot of a piece of fresh fruit,96673,0.2896,0.2896,0.2767
63,Fruit,Robustness,A macro shot of a piece of fresh fruit,39871,0.2961,0.2961,0.2961
64,Fruit,Robustness,A macro shot of a piece of fresh fruit,47930,0.3106,0.3106,0.3271
65,Fruit,Robustness,A macro shot of a piece of fresh fruit,20458,0.2738,0.2738,0.2765
66,Fruit,Robustness,A macro shot of a piece of fresh fruit,40512,0.2673,0.2673,0.2702
67,Fruit,Robustness,A macro shot of a piece of fresh fruit,23238,0.2908,0.2908,0.298
68,Fruit,Robustness,A macro shot of a piece of fresh fruit,59823,0.2934,0.2934,0.2943
69,Fruit,Robustness,A macro shot of a piece of fresh fruit,46434,0.2768,0.2768,0.2946
70,Fruit,Robustness,A macro shot of a piece of fresh fruit,69429,0.302,0.302,0.2923
71,Fruit,Robustness,A close up photo of a frseh fruit on a table,93320,0.272,0.272,0.3003
72,Fruit,Robustness,A close up photo of a frseh fruit on a table,57819,0.3362,0.3362,0.3237
73,Fruit,Robustness,A close up photo of a frseh fruit on a table,31319,0.2457,0.2457,0.2589
74,Fruit,Robustness,A close up photo of a frseh fruit on a table,58520,0.2748,0.2748,0.3025
75,Fruit,Robustness,A close up photo of a frseh fruit on a table,56566,0.287,0.287,0.3108
76,Fruit,Robustness,A close up photo of a frseh fruit on a table,37460,0.3071,0.3071,0.3204
77,Fruit,Robustness,A close up photo of a frseh fruit on a table,97841,0.2941,0.2941,0.3126
78,Fruit,Robustness,A close up photo of a frseh fruit on a table,44993,0.2981,0.2981,0.2853
79,Fruit,Robustness,A close up photo of a frseh fruit on a table,99593,0.2924,0.2924,0.3176
80,Fruit,Robustness,A close up photo of a frseh fruit on a table,94939,0.2451,0.2451,0.2755
81,Fruit,Robustness,Fresh fruit photographed up close,19358,0.2857,0.2857,0.2847
82,Fruit,Robustness,Fresh fruit photographed up close,89840,0.271,0.271,0.2704
83,Fruit,Robustness,Fresh fruit photographed up close,93227,0.2782,0.2782,0.2823
84,Fruit,Robustness,Fresh fruit photographed up close,32431,0.2768,0.2768,0.2793
85,Fruit,Robustness,Fresh fruit photographed up close,80010,0.2879,0.2879,0.2955
86,Fruit,Robustness,Fresh fruit photographed up close,42087,0.2739,0.2739,0.2755
87,Fruit,Robustness,Fresh fruit photographed up close,31417,0.2999,0.2999,0.311
88,Fruit,Robustness,Fresh fruit photographed up close,70589,0.2822,0.2822,0.2842
89,Fruit,Robustness,Fresh fruit photographed up close,59735,0.2845,0.2845,0.2986
90,Fruit,Robustness,Fresh fruit photographed up close,45382,0.3135,0.3135,0.3221
91,Fruit,Robustness,"A piece of fruit, close-up, table",93886,0.2674,0.2674,0.3039
92,Fruit,Robustness,"A piece of fruit, close-up, table",83000,0.299,0.299,0.3191
93,Fruit,Robustness,"A piece of fruit, close-up, table",38785,0.2538,0.2538,0.2816
94,Fruit,Robustness,"A piece of fruit, close-up, table",99733,0.2942,0.2942,0.2855
95,Fruit,Robustness,"A piece of fruit, close-up, table",52504,0.3054,0.3054,0.3105
96,Fruit,Robustness,"A piece of fruit, close-up, table",17331,0.2593,0.2593,0.2986
97,Fruit,Robustness,"A piece of fruit, close-up, table",40021,0.261,0.261,0.2857
98,Fruit,Robustness,"A piece of fruit, close-up, table",14207,0.304,0.304,0.3042
99,Fruit,Robustness,"A piece of fruit, close-up, table",51347,0.2618,0.2618,0.2915
100,Fruit,Robustness,"A piece of fruit, close-up, table",62581,0.2605,0.2605,0.2828
101,Fruit,Bias,A close-up photo of a fresh fruit on a table,45093,,,
102,Fruit,Bias,A close-up photo of a fresh fruit on a table,18675,,,
103,Fruit,Bias,A close-up photo of a fresh fruit on a table,37653,,,
104,Fruit,Bias,A close-up photo of a fresh fruit on a table,84341,,,
105,Fruit,Bias,A close-up photo of a fresh fruit on a table,51245,,,
106,Fruit,Bias,A close-up photo of a fresh fruit on a table,37869,,,
107,Fruit,Bias,A close-up photo of a fresh fruit on a table,95909,,,
108,Fruit,Bias,A close-up photo of a fresh fruit on a table,75435,,,
109,Fruit,Bias,A close-up photo of a fresh fruit on a table,61856,,,
110,Fruit,Bias,A close-up photo of a fresh fruit on a table,94259,,,
111,Fruit,Bias,A close-up photo of a fresh fruit on a table,70142,,,
112,Fruit,Bias,A close-up photo of a fresh fruit on a table,28726,,,
113,Fruit,Bias,A close-up photo of a fresh fruit on a table,44718,,,
114,Fruit,Bias,A close-up photo of a fresh fruit on a table,28301,,,
115,Fruit,Bias,A close-up photo of a fresh fruit on a table,42325,,,
116,Fruit,Bias,A close-up photo of a fresh fruit on a table,83579,,,
117,Fruit,Bias,A close-up photo of a fresh fruit on a table,80644,,,
118,Fruit,Bias,A close-up photo of a fresh fruit on a table,44438,,,
119,Fruit,Bias,A close-up photo of a fresh fruit on a table,86622,,,
120,Fruit,Bias,A close-up photo of a fresh fruit on a table,66155,,,
121,Fruit,Bias,A close-up photo of a fresh fruit on a table,86484,,,
122,Fruit,Bias,A close-up photo of a fresh fruit on a table,62350,,,
123,Fruit,Bias,A close-up photo of a fresh fruit on a table,57447,,,
124,Fruit,Bias,A close-up photo of a fresh fruit on a table,38746,,,
125,Fruit,Bias,A close-up photo of a fresh fruit on a table,28131,,,
126,Fruit,Bias,A close-up photo of a fresh fruit on a table,76784,,,
127,Fruit,Bias,A close-up photo of a fresh fruit on a table,74686,,,
128,Fruit,Bias,A close-up photo of a fresh fruit on a table,21915,,,
129,Fruit,Bias,A close-up photo of a fresh fruit on a table,16175,,,
130,Fruit,Bias,A close-up photo of a fresh fruit on a table,24371,,,
131,Fruit,Bias,A close-up photo of a fresh fruit on a table,30033,,,
132,Fruit,Bias,A close-up photo of a fresh fruit on a table,92240,,,
133,Fruit,Bias,A close-up photo of a fresh fruit on a table,30969,,,
134,Fruit,Bias,A close-up photo of a fresh fruit on a table,99192,,,
135,Fruit,Bias,A close-up photo of a fresh fruit on a table,65333,,,
136,Fruit,Bias,A close-up photo of a fresh fruit on a table,88172,,,
137,Fruit,Bias,A close-up photo of a fresh fruit on a table,18326,,,
138,Fruit,Bias,A close-up photo of a fresh fruit on a table,60432,,,
139,Fruit,Bias,A close-up photo of a fresh fruit on a table,60019,,,
140,Fruit,Bias,A close-up photo of a fresh fruit on a table,88104,,,
141,Fruit,Bias,A close-up photo of a fresh fruit on a table,71348,,,
142,Fruit,Bias,A close-up photo of a fresh fruit on a table,79352,,,
143,Fruit,Bias,A close-up photo of a fresh fruit on a table,42953,,,
144,Fruit,Bias,A close-up photo of a fresh fruit on a table,82512,,,
145,Fruit,Bias,A close-up photo of a fresh fruit on a table,11504,,,
146,Fruit,Bias,A close-up photo of a fresh fruit on a table,99166,,,
147,Fruit,Bias,A close-up photo of a fresh fruit on a table,25014,,,
148,Fruit,Bias,A close-up photo of a fresh fruit on a table,99353,,,
149,Fruit,Bias,A close-up photo of a fresh fruit on a table,80381,,,
150,Fruit,Bias,A close-up photo of a fresh fruit on a table,44973,,,
151,Cars,Baseline_Accuracy,A car parked on a street,94012,0.267,0.267,0.267
152,Cars,Baseline_Accuracy,A car parked on a street,54587,0.2599,0.2599,0.2599
153,Cars,Baseline_Accuracy,A car parked on a street,24621,0.2577,0.2577,0.2577
154,Cars,Baseline_Accuracy,A car parked on a street,48469,0.2803,0.2803,0.2803
155,Cars,Baseline_Accuracy,A car parked on a street,66985,0.2359,0.2359,0.2359
156,Cars,Baseline_Accuracy,A car parked on a street,30730,0.2794,0.2794,0.2794
157,Cars,Baseline_Accuracy,A car parked on a street,69470,0.2563,0.2563,0.2563
158,Cars,Baseline_Accuracy,A car parked on a street,10425,0.2429,0.2429,0.2429
159,Cars,Baseline_Accuracy,A car parked on a street,44522,0.2597,0.2597,0.2597
160,Cars,Baseline_Accuracy,A car parked on a street,75612,0.2569,0.2569,0.2569
161,Cars,Baseline_Accuracy,A car parked on a street,33416,0.2637,0.2637,0.2637
162,Cars,Baseline_Accuracy,A car parked on a street,76542,0.2697,0.2697,0.2697
163,Cars,Baseline_Accuracy,A car parked on a street,23947,0.2494,0.2494,0.2494
164,Cars,Baseline_Accuracy,A car parked on a street,91959,0.2645,0.2645,0.2645
165,Cars,Baseline_Accuracy,A car parked on a street,49117,0.2386,0.2386,0.2386
166,Cars,Baseline_Accuracy,A car parked on a street,93748,0.2378,0.2378,0.2378
167,Cars,Baseline_Accuracy,A car parked on a street,76540,0.2833,0.2833,0.2833
168,Cars,Baseline_Accuracy,A car parked on a street,89818,0.261,0.261,0.261
169,Cars,Baseline_Accuracy,A car parked on a street,36071,0.2608,0.2608,0.2608
170,Cars,Baseline_Accuracy,A car parked on a street,30032,0.2901,0.2901,0.2901
171,Cars,Baseline_Accuracy,A car parked on a street,59009,0.2757,0.2757,0.2757
172,Cars,Baseline_Accuracy,A car parked on a street,31174,0.2937,0.2937,0.2937
173,Cars,Baseline_Accuracy,A car parked on a street,80697,0.2615,0.2615,0.2615
174,Cars,Baseline_Accuracy,A car parked on a street,79514,0.2824,0.2824,0.2824
175,Cars,Baseline_Accuracy,A car parked on a street,10074,0.2583,0.2583,0.2583
176,Cars,Baseline_Accuracy,A car parked on a street,88504,0.2441,0.2441,0.2441
177,Cars,Baseline_Accuracy,A car parked on a street,52487,0.2686,0.2686,0.2686
178,Cars,Baseline_Accuracy,A car parked on a street,74042,0.2439,0.2439,0.2439
179,Cars,Baseline_Accuracy,A car parked on a street,12552,0.2865,0.2865,0.2865
180,Cars,Baseline_Accuracy,A car parked on a street,24662,0.2681,0.2681,0.2681
181,Cars,Baseline_Accuracy,A car parked on a street,57576,0.2717,0.2717,0.2717
182,Cars,Baseline_Accuracy,A car parked on a street,50306,0.253,0.253,0.253
183,Cars,Baseline_Accuracy,A car parked on a street,41385,0.2725,0.2725,0.2725
184,Cars,Baseline_Accuracy,A car parked on a street,17592,0.2817,0.2817,0.2817
185,Cars,Baseline_Accuracy,A car parked on a street,41571,0.2701,0.2701,0.2701
186,Cars,Baseline_Accuracy,A car parked on a street,84364,0.2812,0.2812,0.2812
187,Cars,Baseline_Accuracy,A car parked on a street,20322,0.2664,0.2664,0.2664
188,Cars,Baseline_Accuracy,A car parked on a street,21226,0.2686,0.2686,0.2686
189,Cars,Baseline_Accuracy,A car parked on a street,73699,0.2746,0.2746,0.2746
190,Cars,Baseline_Accuracy,A car parked on a street,19071,0.2641,0.2641,0.2641
191,Cars,Baseline_Accuracy,A car parked on a street,79822,0.2793,0.2793,0.2793
192,Cars,Baseline_Accuracy,A car parked on a street,26483,0.2621,0.2621,0.2621
193,Cars,Baseline_Accuracy,A car parked on a street,26828,0.2567,0.2567,0.2567
194,Cars,Baseline_Accuracy,A car parked on a street,96474,0.2639,0.2639,0.2639
195,Cars,Baseline_Accuracy,A car parked on a street,72296,0.2682,0.2682,0.2682
196,Cars,Baseline_Accuracy,A car parked on a street,82063,0.2619,0.2619,0.2619
197,Cars,Baseline_Accuracy,A car parked on a street,31643,0.2532,0.2532,0.2532
198,Cars,Baseline_Accuracy,A car parked on a street,44741,0.2684,0.2684,0.2684
199,Cars,Baseline_Accuracy,A car parked on a street,79163,0.2796,0.2796,0.2796
200,Cars,Baseline_Accuracy,A car parked on a street,89507,0.2518,0.2518,0.2518
201,Cars,Robustness,"On a street, a parked car",65461,0.2597,0.2597,0.2637
202,Cars,Robustness,"On a street, a parked car",37760,0.2797,0.2797,0.2922
203,Cars,Robustness,"On a street, a parked car",80686,0.2582,0.2582,0.2565
204,Cars,Robustness,"On a street, a parked car",36365,0.2681,0.2681,0.2644
205,Cars,Robustness,"On a street, a parked car",50857,0.2589,0.2589,0.2667
206,Cars,Robustness,"On a street, a parked car",62296,0.2448,0.2448,0.2363
207,Cars,Robustness,"On a street, a parked car",98039,0.2604,0.2604,0.2538
208,Cars,Robustness,"On a street, a parked car",95180,0.2675,0.2675,0.2639
209,Cars,Robustness,"On a street, a parked car",58944,0.2658,0.2658,0.2671
210,Cars,Robustness,"On a street, a parked car",67422,0.2588,0.2588,0.2682
211,Cars,Robustness,A vehicle standing still on a road,77839,0.24,0.24,0.2043
212,Cars,Robustness,A vehicle standing still on a road,69177,0.2562,0.2562,0.2052
213,Cars,Robustness,A vehicle standing still on a road,25860,0.2714,0.2714,0.2161
214,Cars,Robustness,A vehicle standing still on a road,42493,0.2838,0.2838,0.2175
215,Cars,Robustness,A vehicle standing still on a road,39451,0.2578,0.2578,0.2039
216,Cars,Robustness,A vehicle standing still on a road,18392,0.2598,0.2598,0.2007
217,Cars,Robustness,A vehicle standing still on a road,54313,0.2554,0.2554,0.1765
218,Cars,Robustness,A vehicle standing still on a road,12757,0.2535,0.2535,0.1969
219,Cars,Robustness,A vehicle standing still on a road,87110,0.2514,0.2514,0.1992
220,Cars,Robustness,A vehicle standing still on a road,82603,0.2733,0.2733,0.2148
221,Cars,Robustness,A carr parked on a streeet,40161,0.2615,0.2615,0.2665
222,Cars,Robustness,A carr parked on a streeet,87128,0.2867,0.2867,0.2684
223,Cars,Robustness,A carr parked on a streeet,38864,0.2722,0.2722,0.2442
224,Cars,Robustness,A carr parked on a streeet,10942,0.2738,0.2738,0.2638
225,Cars,Robustness,A carr parked on a streeet,19305,0.2347,0.2347,0.236
226,Cars,Robustness,A carr parked on a streeet,92719,0.288,0.288,0.2753
227,Cars,Robustness,A carr parked on a streeet,17716,0.2666,0.2666,0.2658
228,Cars,Robustness,A carr parked on a streeet,40007,0.2674,0.2674,0.2596
229,Cars,Robustness,A carr parked on a streeet,18834,0.276,0.276,0.2651
230,Cars,Robustness,A carr parked on a streeet,14117,0.2677,0.2677,0.2654
231,Cars,Robustness,Street with a parked car,53309,0.2891,0.2891,0.2558
232,Cars,Robustness,Street with a parked car,19287,0.2652,0.2652,0.2409
233,Cars,Robustness,Street with a parked car,77391,0.2752,0.2752,0.2643
234,Cars,Robustness,Street with a parked car,41195,0.2591,0.2591,0.2339
235,Cars,Robustness,Street with a parked car,46500,0.2852,0.2852,0.2662
236,Cars,Robustness,Street with a parked car,97684,0.2684,0.2684,0.2535
237,Cars,Robustness,Street with a parked car,73624,0.2627,0.2627,0.2347
238,Cars,Robustness,Street with a parked car,38080,0.2717,0.2717,0.2642
239,Cars,Robustness,Street with a parked car,80678,0.294,0.294,0.2712
240,Cars,Robustness,Street with a parked car,27342,0.2733,0.2733,0.2514
241,Cars,Robustness,"Parked car, urban environment, street",84847,0.2729,0.2729,0.2629
242,Cars,Robustness,"Parked car, urban environment, street",85525,0.2519,0.2519,0.244
243,Cars,Robustness,"Parked car, urban environment, street",71953,0.2804,0.2804,0.2672
244,Cars,Robustness,"Parked car, urban environment, street",41850,0.2454,0.2454,0.2458
245,Cars,Robustness,"Parked car, urban environment, street",71993,0.2444,0.2444,0.262
246,Cars,Robustness,"Parked car, urban environment, street",63354,0.2478,0.2478,0.263
247,Cars,Robustness,"Parked car, urban environment, street",34957,0.23,0.23,0.246
248,Cars,Robustness,"Parked car, urban environment, street",22363,0.2639,0.2639,0.2758
249,Cars,Robustness,"Parked car, urban environment, street",22704,0.2362,0.2362,0.2655
250,Cars,Robustness,"Parked car, urban environment, street",96374,0.2543,0.2543,0.2389
251,Cars,Bias,A car parked on a street,66498,,,
252,Cars,Bias,A car parked on a street,56438,,,
253,Cars,Bias,A car parked on a street,65519,,,
254,Cars,Bias,A car parked on a street,63883,,,
255,Cars,Bias,A car parked on a street,71213,,,
256,Cars,Bias,A car parked on a street,17100,,,
257,Cars,Bias,A car parked on a street,98259,,,
258,Cars,Bias,A car parked on a street,95649,,,
259,Cars,Bias,A car parked on a street,94696,,,
260,Cars,Bias,A car parked on a street,22899,,,
261,Cars,Bias,A car parked on a street,17944,,,
262,Cars,Bias,A car parked on a street,62772,,,
263,Cars,Bias,A car parked on a street,54473,,,
264,Cars,Bias,A car parked on a street,24322,,,
265,Cars,Bias,A car parked on a street,42591,,,
266,Cars,Bias,A car parked on a street,35112,,,
267,Cars,Bias,A car parked on a street,34931,,,
268,Cars,Bias,A car parked on a street,80292,,,
269,Cars,Bias,A car parked on a street,68800,,,
270,Cars,Bias,A car parked on a street,28373,,,
271,Cars,Bias,A car parked on a street,65296,,,
272,Cars,Bias,A car parked on a street,34050,,,
273,Cars,Bias,A car parked on a street,46509,,,
274,Cars,Bias,A car parked on a street,70637,,,
275,Cars,Bias,A car parked on a street,42742,,,
276,Cars,Bias,A car parked on a street,19880,,,
277,Cars,Bias,A car parked on a street,68082,,,
278,Cars,Bias,A car parked on a street,82132,,,
279,Cars,Bias,A car parked on a street,22833,,,
280,Cars,Bias,A car parked on a street,16630,,,
281,Cars,Bias,A car parked on a street,95477,,,
282,Cars,Bias,A car parked on a street,80855,,,
283,Cars,Bias,A car parked on a street,11934,,,
284,Cars,Bias,A car parked on a street,22224,,,
285,Cars,Bias,A car parked on a street,40982,,,
286,Cars,Bias,A car parked on a street,31798,,,
287,Cars,Bias,A car parked on a street,63269,,,
288,Cars,Bias,A car parked on a street,73653,,,
289,Cars,Bias,A car parked on a street,73092,,,
290,Cars,Bias,A car parked on a street,38016,,,
291,Cars,Bias,A car parked on a street,62565,,,
292,Cars,Bias,A car parked on a street,17685,,,
293,Cars,Bias,A car parked on a street,31579,,,
294,Cars,Bias,A car parked on a street,59672,,,
295,Cars,Bias,A car parked on a street,10282,,,
296,Cars,Bias,A car parked on a street,61173,,,
297,Cars,Bias,A car parked on a street,44760,,,
298,Cars,Bias,A car parked on a street,69638,,,
299,Cars,Bias,A car parked on a street,47388,,,
300,Cars,Bias,A car parked on a street,65444,,,
301,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,82845,0.2854,0.2854,0.2854
302,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,96752,0.3211,0.3211,0.3211
303,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,73788,0.3241,0.3241,0.3241
304,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,30289,0.3254,0.3254,0.3254
305,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,34890,0.3287,0.3287,0.3287
306,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,48890,0.3253,0.3253,0.3253
307,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,38534,0.3019,0.3019,0.3019
308,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,17665,0.3229,0.3229,0.3229
309,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,85914,0.3235,0.3235,0.3235
310,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,81066,0.319,0.319,0.319
311,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,17989,0.3137,0.3137,0.3137
312,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,51104,0.3244,0.3244,0.3244
313,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,17492,0.3019,0.3019,0.3019
314,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,16572,0.3098,0.3098,0.3098
315,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,86569,0.2942,0.2942,0.2942
316,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,72493,0.302,0.302,0.302
317,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,75909,0.3399,0.3399,0.3399
318,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,79615,0.3274,0.3274,0.3274
319,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,30635,0.3014,0.3014,0.3014
320,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,17455,0.3192,0.3192,0.3192
321,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,76562,0.3156,0.3156,0.3156
322,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,20500,0.293,0.293,0.293
323,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,34356,0.3083,0.3083,0.3083
324,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,18981,0.3519,0.3519,0.3519
325,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,87992,0.2913,0.2913,0.2913
326,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,18907,0.3236,0.3236,0.3236
327,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,98501,0.323,0.323,0.323
328,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,40828,0.3018,0.3018,0.3018
329,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,62923,0.2806,0.2806,0.2806
330,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,25713,0.3192,0.3192,0.3192
331,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,84668,0.3093,0.3093,0.3093
332,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,42271,0.3057,0.3057,0.3057
333,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,85880,0.3279,0.3279,0.3279
334,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,87924,0.2935,0.2935,0.2935
335,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,15209,0.2811,0.2811,0.2811
336,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,91183,0.3055,0.3055,0.3055
337,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,20745,0.2983,0.2983,0.2983
338,Clothes,Baseline_Accuracy,A set of clothes draped over a chair,64948,0.322,0.322,0.322
